1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;
1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;
1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;1954;
1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;
1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;1887;
1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;
1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;
1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;
1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;
1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;
1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;
1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;
1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;
1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;
1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;
1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;
1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;1878;
